kingdom,phylum,class,order,Agde_port_1,Agde_port_2,Cannes_Biohut,Cannes_Port_1,Cannes_Port_2,La_Ciotat_Port_1,La_Ciotat_Port_2,Marseillan_Port_1,Marseillan_Port_2,Marseillan_Biohut,Porquerolles_Port_1,Port_Vendre_Port_1,SMM_Biohut,SMM_Port_1 ,SMM_Port_2 
kingdom,phylum,class,order,SPY213513,SPY213520,SPY213515,SPY213512,SPY213516,SPY213514,SPY213517,SPY202505,SPY202519,SPY202520,SPY213519,SPY213523,SPY213518,SPY213521,SPY213522
Metazoa,Porifera,Demospongiae,Haplosclerida,16,,27,,,38,13,11,,,,,,,
Metazoa,Porifera,Demospongiae,Poecilosclerida,,,,,,36,,15,24,213,,25,,,
Metazoa,Porifera,Demospongiae,Suberitida,,,,,,,,,,,12,,,,
Metazoa,Rotifera,Monogononta,-,,,,,,2110,1608,,,,215,,15,,
Metazoa,Rotifera,Monogononta,Ploima,,,,26,14,,,45,48,13,,12,17,,
Metazoa,Xenacoelomorpha,-,Nemertodermatida,,,208,95,45,,,88,13,12,22,,,,
Protozoa,Choanozoa,Choanoflagellata,-,,,,,,,,34,20,14,,16,,,
Protozoa,Choanozoa,Choanoflagellata,Acanthoecida,47,45,184,63,34,,,117,89,46,61,83,146,61,64
Protozoa,Choanozoa,Choanoflagellata,Craspedida,11,,,,,,,12,,,28,19,,,
Protozoa,Choanozoa,Ichthyosporea,Ichthyophonida,,,,,,15,,11,,,,,,11,
Viridiplantae,Chlorophyta,-,-,,,,,,,,73,16,27,,,,,
Viridiplantae,Chlorophyta,Mamiellophyceae,Dolichomastigales,,,,,,40,26,,,,,,18,,14
Viridiplantae,Chlorophyta,Mamiellophyceae,Mamiellales,58,45,78,56,25,33,,527,342,187,66,136,302,160,171
Viridiplantae,Chlorophyta,Nephroselmidophyceae,Nephroselmidales,53,48,131,75,37,,,14,,,,21,11,,
Viridiplantae,Chlorophyta,Palmophyllophyceae,Prasinococcales,,,27,14,,49,58,27,,,41,,21,11,13
Viridiplantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,390,388,14,,,676,560,1265,617,401,239,690,3325,2598,2194
Viridiplantae,Rhodophyta,Florideophyceae,Ceramiales,,,,,,59,,17,34,12,,,,45,
Viridiplantae,Rhodophyta,Florideophyceae,Corallinales,,,,,,42,,,,,,,,,
Viridiplantae,Rhodophyta,Florideophyceae,Gigartinales,,,,,,86,19,,,,,,,,
Viridiplantae,Rhodophyta,Florideophyceae,Rhodymeniales,,,,,,15,,,,,,,,,
Viridiplantae,Streptophyta,Magnoliopsida,Laurales,,,,,,36,,,,,,,,,
-,Picozoa,Picomonadea,Picomonadida,210,,28,12,,31,12,72,23,,,86,,,
Total avant filtres,,,,158471,192273,197630,273625,140819,169853,124490,276035,223665,128118,244025,253304,216411,199403,162859
Total après filtres,,,,67958,84259,136360,210189,110988,47058,33505,175120,134569,83829,20060,89012,71524,46926,39266
